"FEATUREID","Latitude","Longitude"
4290413,46.232113,-69.890945
4290421,46.219074,-69.941937
4290479,46.206464,-69.895594
4290345,46.219884,-69.968541
4290347,46.228167,-69.996545
4290579,46.24303,-70.01722
4290341,46.239491,-69.980165
4290611,46.222075,-70.028726
4292653,46.211163,-69.996894
4290349,46.215742,-69.98595
4290361,46.12503,-69.852169
4290365,46.080083,-69.859323
4290367,46.052473,-69.938105
4290511,46.054608,-69.950473
4290379,46.02414,-69.955818
4290515,46.031317,-69.964002
4290505,46.014435,-69.977178
4290383,46.022472,-69.97223
4290503,46.026679,-69.979224
4290375,46.028843,-69.985508
4290517,46.035847,-69.978702
4290377,46.0282,-69.899283
4290513,46.028296,-69.879734
4290429,46.157748,-69.789936
4290353,46.206447,-69.812035
4290423,46.198732,-69.76499
4290355,46.183667,-69.777245
4290417,46.265822,-69.752344
4290577,46.265607,-70.016542
4290337,46.259753,-69.970072
4290329,46.281621,-69.949642
4290331,46.280693,-69.9863
4290475,46.279869,-69.964709
4290333,46.286127,-69.842662
4290465,46.281704,-69.794119
4290411,46.294056,-69.751757
4290299,46.378128,-69.809286
4290303,46.358774,-69.841726
4290307,46.351105,-69.888173
4290571,46.368031,-70.134355
4290615,46.355706,-70.128204
4290605,46.249673,-70.198222
4290617,46.259126,-70.197979
4290593,46.184617,-70.140363
4290583,46.20335,-70.136917
4290575,46.3585,-70.053078
4290603,46.469977,-70.012849
4290557,46.475615,-70.005874
4290265,46.474037,-69.987213
4290559,46.470471,-69.997003
4290555,46.479085,-70.002321
4290097,46.511285,-69.984848
4289627,46.533892,-69.988856
4290017,46.513148,-69.979416
4289453,46.512362,-69.982374
4290267,46.494002,-69.890655
4290071,46.514444,-69.863836
4289449,46.517274,-69.870262
4289993,46.566687,-69.894577
4289625,46.542633,-69.93529
4289991,46.567047,-69.894077
4289441,46.566021,-69.960252
4289437,46.589083,-69.968221
4289975,46.596564,-69.97499
4289977,46.594969,-69.968271
4292671,46.598053,-69.981513
4289427,46.59912,-69.985907
4289425,46.602885,-69.993293
4289435,46.593764,-69.999606
4290113,46.597417,-70.000748
4289623,46.576504,-69.983632
4289615,46.621455,-69.965493
4290069,46.642854,-69.943816
4290085,46.645092,-69.981221
4289387,46.651253,-69.99456
4290067,46.657939,-70.011517
4290079,46.669302,-69.979876
4289371,46.681049,-69.960631
4290089,46.599071,-69.973095
4289429,46.615155,-69.9567
4289965,46.596813,-69.957858
4289433,46.609496,-69.941862
4289421,46.609583,-69.917353
4289619,46.601902,-69.870767
4289981,46.575176,-69.869496
4289375,46.666725,-69.922891
4289933,46.662241,-69.932538
4289607,46.663324,-69.942437
4289407,46.618105,-69.826985
4289411,46.616421,-69.830477
4289951,46.618378,-69.828732
4289953,46.618965,-69.832657
4289613,46.608574,-69.843011
4289957,46.617061,-69.832233
4289611,46.617594,-69.84892
4289621,46.604411,-69.809011
4289393,46.641798,-69.788559
4289931,46.64141,-69.786154
4289397,46.634308,-69.81502
4289391,46.651902,-69.827031
4289385,46.653559,-69.790082
4289925,46.649168,-69.766129
4289379,46.684477,-69.834597
4289381,46.669735,-69.836945
4289913,46.682657,-69.786343
4289377,46.666505,-69.778667
4289367,46.688509,-69.807669
4289917,46.664053,-69.760351
4290059,46.703521,-69.822503
4289911,46.675168,-69.742389
4289601,46.705031,-69.799119
4289897,46.692094,-69.737045
4289901,46.68129,-69.74738
4289365,46.690318,-69.755233
4289355,46.7196,-69.72445
4289581,46.739547,-69.718428
4289591,46.75309,-69.745522
4289335,46.738722,-69.794265
4289343,46.723272,-69.784145
4289359,46.710654,-69.705663
4289877,46.705468,-69.697399
4289583,46.739704,-69.689828
4289867,46.726441,-69.669491
4290049,46.753267,-69.705851
4289329,46.782339,-69.678963
4289831,46.769779,-69.602362
4289575,46.782624,-69.630276
4289315,46.778675,-69.605531
4289801,46.783417,-69.596032
4289787,46.789334,-69.591356
4289309,46.788075,-69.60372
4289775,46.79623,-69.582408
4289295,46.811226,-69.595682
4289285,46.843569,-69.596459
4289769,46.819263,-69.575986
4289271,46.868524,-69.574601
4289753,46.845623,-69.539691
4289267,46.85413,-69.520502
4289745,46.851711,-69.517753
4290037,46.857329,-69.524368
4289235,46.921742,-69.483442
4289685,46.92043,-69.465761
4290025,46.92341,-69.501477
4289259,46.880712,-69.542428
4289713,46.900905,-69.525294
4289707,46.918196,-69.618877
4289233,46.918377,-69.620862
4290031,46.918948,-69.622632
4289693,46.919135,-69.586929
4289237,46.910192,-69.612402
4289251,46.882436,-69.620355
4289729,46.898493,-69.638319
4289273,46.848367,-69.648447
4289757,46.863607,-69.65073
4289275,46.858829,-69.738218
4289557,46.844067,-69.747176
4290041,46.849954,-69.743194
4289293,46.796837,-69.906024
4289353,46.713914,-69.865346
4290055,46.739596,-69.835786
4289589,46.733804,-69.850199
4289317,46.775139,-69.85297
4289567,46.828543,-69.831659
4289629,46.864575,-69.864278
4289561,46.804746,-69.757671
4289287,46.815839,-69.721949
4289793,46.80923,-69.704419
4289307,46.790634,-69.730674
4289551,46.925183,-69.751142
4289245,46.908656,-69.761053
4289747,46.899684,-69.772765
4289241,46.955882,-69.83509
4289261,46.878979,-69.779908
4289265,46.869459,-69.683902
4290039,46.875716,-69.680262
4289257,46.901083,-69.688009
